Year,JD,Month,Day,Air Temp,Rainfall,Wind Speed,Wind direction,Net SW Radiation,Net LW Radiation ,Net Radiation,,,,,,,
2008,279,10,5,-3.36,0,3.43,48.63,0.27,-3.82,-3.55,,,,,,,
2008,280,10,6,-1.59,0,9.74,303.41,3.97,-15.28,-11.31,,,,,,,
2008,281,10,7,-2.68,0,8.57,274.08,1.71,-46.78,-45.07,,,,,,,
2008,282,10,8,-2.64,0,7.31,262.63,2.32,-30.08,-27.76,,,,,,,
2008,283,10,9,-7.91,0,3.50,149.90,8.96,-34.50,-25.54,,,,,,,
2008,284,10,10,-2.69,0,7.72,135.30,2.21,-11.91,-9.70,,,,,,,
2008,285,10,11,-1.84,0,4.93,242.81,3.34,-19.76,-16.42,,,,,,,
2008,286,10,12,-1.43,0,1.88,218.92,2.11,-6.12,-4.01,,,,,,,
2008,287,10,13,-4.55,0,4.69,236.60,0.80,-4.49,-3.69,,,,,,,
2008,288,10,14,-8.76,0,3.13,41.59,1.22,-3.69,-2.47,,,,,,,
2008,289,10,15,-16.58,0,0.28,166.96,3.77,2.80,6.57,,,,,,,
2008,290,10,16,-10.62,0,4.97,211.13,1.52,-7.15,-5.63,,,,,,,
2008,291,10,17,-9.52,0,5.94,216.16,1.94,-19.22,-17.28,,,,,,,
2008,292,10,18,-16.76,0,2.46,152.23,12.91,-28.52,-15.61,,,,,,,
2008,293,10,19,-13.33,0,2.48,188.08,0.55,-2.87,-2.32,,,,,,,
2008,294,10,20,-11.40,0,1.15,194.49,-1.77,-1.03,-2.81,,,,,,,
2008,295,10,21,-12.59,0,2.94,135.98,6.52,-20.39,-13.86,,,,,,,
2008,296,10,22,-10.80,0,3.08,102.49,0.17,-4.87,-4.70,,,,,,,
2008,297,10,23,-6.08,0,6.53,254.84,0.13,-21.53,-21.40,,,,,,,
2008,298,10,24,-11.48,0,4.69,274.29,-0.18,-20.51,-20.69,,,,,,,
2008,299,10,25,-12.67,0,8.02,250.29,0.18,-27.48,-27.31,,,,,,,
2008,300,10,26,-20.27,0,3.03,187.36,1.01,-28.55,-27.54,,,,,,,
2008,301,10,27,-24.68,0,2.11,190.26,3.73,-7.74,-4.00,,,,,,,
2008,302,10,28,-23.73,0,1.89,169.82,3.55,-3.78,-0.23,,,,,,,
2008,303,10,29,-20.88,0,2.35,141.65,3.26,-4.13,-0.87,,,,,,,
2008,304,10,30,-12.65,0,6.92,227.90,0.15,-1.93,-1.78,,,,,,,
2008,305,10,31,-13.85,0,2.08,173.77,-0.52,-10.74,-11.26,,,,,,,
2008,306,11,1,-12.25,0,4.13,28.21,-0.02,-11.47,-11.49,,,,,,,
2008,307,11,2,-13.36,0,4.35,52.54,-1.23,-20.18,-21.41,,,,,,,
2008,308,11,3,-16.45,0,6.59,74.49,1.66,-46.46,-44.80,,,,,,,
2008,309,11,4,-17.34,0,4.73,84.92,-1.33,-35.43,-36.76,,,,,,,
2008,310,11,5,-14.60,0,5.76,105.73,-0.31,-18.92,-19.23,,,,,,,
2008,311,11,6,-16.25,0,3.56,113.85,2.02,-20.19,-18.16,,,,,,,
2008,312,11,7,-14.75,0,2.96,206.05,-0.45,-2.87,-3.32,,,,,,,
2008,313,11,8,-13.93,0,5.91,307.46,-0.77,-12.71,-13.49,,,,,,,
2008,314,11,9,-16.54,0,1.42,186.73,-0.34,-4.27,-4.61,,,,,,,
2008,315,11,10,-19.08,0,3.01,100.43,0.71,-5.78,-5.07,,,,,,,
2008,316,11,11,-12.33,0,7.96,101.20,-0.46,-4.89,-5.34,,,,,,,
2008,317,11,12,-8.44,0,5.04,102.82,-0.40,-9.66,-10.06,,,,,,,
2008,318,11,13,-12.52,0,4.12,164.07,-1.81,-32.98,-34.80,,,,,,,
2008,319,11,14,-9.61,0,4.79,207.53,-0.95,-26.43,-27.38,,,,,,,
2008,320,11,15,-17.36,0,2.72,197.24,-1.04,-5.11,-6.14,,,,,,,
2008,321,11,16,-11.28,0,4.12,262.75,-0.89,-4.60,-5.49,,,,,,,
2008,322,11,17,-12.19,0,1.70,214.11,-0.70,-5.40,-6.10,,,,,,,
2008,323,11,18,-16.86,0,3.22,303.83,-1.40,-7.41,-8.81,,,,,,,
2008,324,11,19,-22.74,0,3.89,221.82,-1.93,-14.09,-16.03,,,,,,,
2008,325,11,20,-28.96,0,3.04,171.76,-1.61,-9.49,-11.09,,,,,,,
2008,326,11,21,-21.07,0,5.94,58.62,-0.81,-4.46,-5.27,,,,,,,
2008,327,11,22,-17.72,0,4.60,82.25,-1.03,-16.02,-17.05,,,,,,,
2008,328,11,23,-18.90,0,6.11,104.60,-0.34,-6.08,-6.42,,,,,,,
2008,329,11,24,-18.61,0,3.65,126.68,-0.56,-9.05,-9.62,,,,,,,
2008,330,11,25,-20.38,0,3.92,96.12,-1.44,-11.06,-12.50,,,,,,,
2008,331,11,26,-17.32,0,3.08,191.90,-0.91,-12.93,-13.84,,,,,,,
2008,332,11,27,-17.27,0,2.74,138.03,-0.67,-6.19,-6.85,,,,,,,
2008,333,11,28,-15.45,0,2.48,170.92,-0.85,-5.93,-6.78,,,,,,,
2008,334,11,29,-13.05,0,3.44,209.43,-0.35,-2.52,-2.87,,,,,,,
2008,335,11,30,-15.56,0,1.77,204.01,-0.56,-6.06,-6.62,,,,,,,
2008,336,12,1,-13.84,0,8.14,293.07,-0.40,-3.91,-4.31,,,,,,,
2008,337,12,2,-19.35,0,7.35,259.38,-1.56,-30.29,-31.85,,,,,,,
2008,338,12,3,-29.05,0,3.41,199.66,-1.83,-20.23,-22.06,,,,,,,
2008,339,12,4,-28.51,0,1.83,122.64,-1.67,-5.06,-6.74,,,,,,,
2008,340,12,5,-30.30,0,1.64,67.13,-1.66,-3.77,-5.43,,,,,,,
2008,341,12,6,-23.78,0,2.29,306.45,-1.16,-2.21,-3.37,,,,,,,
2008,342,12,7,-29.85,0,1.97,267.48,-2.59,-3.59,-6.18,,,,,,,
2008,343,12,8,-31.66,0,0.85,126.88,-1.42,-1.29,-2.70,,,,,,,
2008,344,12,9,-31.32,0,1.15,97.05,-1.18,-1.42,-2.60,,,,,,,
2008,345,12,10,-30.00,0,2.61,119.12,-1.03,-1.33,-2.36,,,,,,,
2008,346,12,11,-22.92,0,3.70,225.88,-0.26,-0.36,-0.62,,,,,,,
2008,347,12,12,-18.96,0,2.44,282.29,-1.65,-1.47,-3.12,,,,,,,
2008,348,12,13,-27.37,0,1.00,159.60,-1.54,-0.94,-2.48,,,,,,,
2008,349,12,14,-15.61,0,8.21,221.57,-0.06,-1.11,-1.17,,,,,,,
2008,350,12,15,-8.71,0,7.51,225.38,-1.50,-24.04,-25.54,,,,,,,
2008,351,12,16,-11.79,0,13.08,299.72,-1.11,-23.72,-24.83,,,,,,,
2008,352,12,17,-23.35,0,3.05,197.26,-2.59,-20.64,-23.23,,,,,,,
2008,353,12,18,-22.30,0,5.11,115.05,-1.42,-8.58,-10.00,,,,,,,
2008,354,12,19,-20.66,0,6.79,169.89,-1.14,-24.57,-25.71,,,,,,,
2008,355,12,20,-15.44,0,4.12,252.27,-1.72,-13.93,-15.65,,,,,,,
2008,356,12,21,-18.49,0,0.91,185.50,-0.27,-0.76,-1.03,,,,,,,
2008,357,12,22,-20.27,0,0.65,111.29,-0.69,-0.28,-0.97,,,,,,,
2008,358,12,23,-22.37,0,0.36,144.37,-0.84,-0.28,-1.12,,,,,,,
2008,359,12,24,-18.70,0,3.43,235.29,-0.27,-0.10,-0.37,,,,,,,
2008,360,12,25,-23.39,0,2.68,210.68,-2.32,-1.78,-4.11,,,,,,,
2008,361,12,26,-24.68,0,1.35,141.52,-1.73,-0.52,-2.25,,,,,,,
2008,362,12,27,-20.63,0,4.10,292.25,-1.06,-0.24,-1.30,,,,,,,
2008,363,12,28,-26.37,0,3.48,323.18,-2.00,-3.13,-5.13,,,,,,,
2008,364,12,29,-32.05,0,1.85,265.24,-2.11,-2.02,-4.13,,,,,,,
2008,365,12,30,-34.23,0,2.12,190.25,-1.76,-1.40,-3.16,,,,,,,
2008,366,12,31,-36.58,0,1.58,159.76,-2.08,-1.30,-3.38,,,,,,,
2008,1,1,1,-37.47,0,1.45,140.88,-2.51,-0.88,-3.39,,,,,,,
2008,2,1,2,-35.18,0,2.56,237.91,-1.22,-0.47,-1.69,,,,,,,
2008,3,1,3,-24.62,0,7.12,269.29,-0.48,-6.22,-6.70,,,,,,,
2008,4,1,4,-21.88,0,6.75,273.99,-0.39,-11.54,-11.93,,,,,,,
2008,5,1,5,-25.72,0,4.86,321.39,-1.05,-24.27,-25.32,,,,,,,
2008,6,1,6,-31.83,0,1.14,289.24,-2.40,-16.35,-18.75,,,,,,,
2008,7,1,7,-28.68,0,2.40,322.97,-0.52,-4.46,-4.98,,,,,,,
2008,8,1,8,-29.83,0,2.70,265.88,-1.43,-9.32,-10.75,,,,,,,
2008,9,1,9,-24.34,0,7.15,261.31,-0.55,-14.54,-15.09,,,,,,,
2008,10,1,10,-27.31,0,5.42,269.40,-1.52,-24.29,-25.81,,,,,,,
2008,11,1,11,-34.86,0,1.60,187.36,-1.94,-6.84,-8.78,,,,,,,
2008,12,1,12,-34.00,0,3.36,133.85,-1.83,-4.21,-6.03,,,,,,,
2008,13,1,13,-32.46,0,6.96,142.00,-1.03,-2.38,-3.41,,,,,,,
2008,14,1,14,-23.06,0,5.70,157.50,-0.18,-0.29,-0.47,,,,,,,
2008,15,1,15,-8.06,0,8.37,176.65,-0.40,-16.09,-16.49,,,,,,,
2008,16,1,16,-7.31,0,4.98,172.25,-1.56,-32.85,-34.41,,,,,,,
2008,17,1,17,0.47,0,10.20,178.87,-1.22,-30.02,-31.24,,,,,,,
2008,18,1,18,-6.39,0,5.82,252.69,-1.94,-32.80,-34.74,,,,,,,
2008,19,1,19,-15.28,0,3.12,167.56,-0.48,-6.57,-7.05,,,,,,,
2008,20,1,20,-20.39,0,4.58,318.51,-0.87,-19.05,-19.92,,,,,,,
2008,21,1,21,-33.92,0,1.81,225.88,-1.52,-23.02,-24.54,,,,,,,
2008,22,1,22,-30.46,0,4.31,163.01,-0.72,-12.63,-13.35,,,,,,,
2008,23,1,23,-27.45,0,6.99,182.11,0.91,-18.65,-17.74,,,,,,,
2008,24,1,24,-24.38,0,5.91,189.51,-0.36,-33.95,-34.32,,,,,,,
2008,25,1,25,-19.02,0,4.02,248.88,-1.19,-25.25,-26.44,,,,,,,
2008,26,1,26,-19.39,0,6.59,274.30,-1.27,-26.34,-27.61,,,,,,,
2008,27,1,27,-28.20,0,1.53,188.00,-1.15,-10.61,-11.77,,,,,,,
2008,28,1,28,-30.66,0,4.36,256.88,-1.20,-30.28,-31.47,,,,,,,
2008,29,1,29,-35.01,0,3.63,185.75,1.26,-23.47,-22.20,,,,,,,
2008,30,1,30,-35.29,0,3.44,99.42,2.20,-15.40,-13.19,,,,,,,
2008,31,1,31,-37.20,0,3.03,91.19,1.55,-11.72,-10.17,,,,,,,
2008,32,2,1,-33.17,0,4.11,86.70,0.39,-8.22,-7.83,,,,,,,
2008,33,2,2,-35.94,0,1.83,91.21,0.26,-11.06,-10.80,,,,,,,
2008,34,2,3,-34.14,0,2.76,89.31,0.07,-2.71,-2.64,,,,,,,
2008,35,2,4,-26.76,0,7.21,324.04,0.08,-0.86,-0.79,,,,,,,
2008,36,2,5,-29.09,0,2.98,217.78,7.50,-18.60,-11.10,,,,,,,
2008,37,2,6,-29.06,0,3.02,194.93,5.89,-16.85,-10.96,,,,,,,
2008,38,2,7,-27.75,0,1.42,308.08,0.19,-0.93,-0.73,,,,,,,
2008,39,2,8,-32.13,0,2.01,297.31,6.59,1.20,7.79,,,,,,,
2008,40,2,9,-30.15,0,0.86,159.68,-0.34,0.14,-0.21,,,,,,,
2008,41,2,10,-32.59,0,1.17,119.27,1.48,1.18,2.65,,,,,,,
2008,42,2,11,-34.43,0,2.11,127.31,2.28,0.81,3.09,,,,,,,
2008,43,2,12,-30.73,0,3.08,205.74,2.41,0.56,2.97,,,,,,,
2008,44,2,13,-22.07,0,4.93,166.42,5.19,2.71,7.91,,,,,,,
2008,45,2,14,-15.62,0,5.02,191.42,-1.18,3.64,2.46,,,,,,,
2008,46,2,15,-14.87,0,3.75,184.83,4.31,-16.56,-12.25,,,,,,,
2008,47,2,16,-15.85,0,2.46,117.29,10.26,-5.71,4.55,,,,,,,
2008,48,2,17,-19.73,0,6.84,275.80,0.30,-10.17,-9.87,,,,,,,
2008,49,2,18,-25.62,0,6.15,251.75,8.59,-33.57,-24.98,,,,,,,
2008,50,2,19,-14.71,0,10.07,193.88,1.53,-5.92,-4.39,,,,,,,
2008,51,2,20,-14.21,0,8.28,276.84,1.24,-23.77,-22.53,,,,,,,
2008,52,2,21,-26.64,0,5.47,260.45,15.91,-37.99,-22.08,,,,,,,
2008,53,2,22,-26.97,0,4.05,98.20,13.40,-25.18,-11.78,,,,,,,
2008,54,2,23,-27.24,0,6.72,105.59,14.98,-37.11,-22.13,,,,,,,
2008,55,2,24,-22.61,0,9.82,151.16,10.26,-30.46,-20.20,,,,,,,
2008,56,2,25,-20.32,0,4.84,183.31,1.98,9.07,11.05,,,,,,,
2008,57,2,26,-26.02,0,1.95,175.68,15.43,1.10,16.54,,,,,,,
2008,58,2,27,-21.62,0,5.93,256.41,5.35,-23.23,-17.88,,,,,,,
2008,59,2,28,-18.17,0,8.94,179.11,2.96,-11.21,-8.26,,,,,,,
2008,60,3,1,-13.72,0,7.52,251.31,1.67,-37.34,-35.67,,,,,,,
2008,61,3,2,-26.07,0,2.80,207.08,14.47,-43.48,-29.01,,,,,,,
2008,62,3,3,-27.49,0,3.75,99.39,22.24,-35.53,-13.28,,,,,,,
2008,63,3,4,-27.99,0,2.26,92.22,20.24,-23.96,-3.72,,,,,,,
2008,64,3,5,-27.21,0,6.56,103.65,5.65,-18.50,-12.85,,,,,,,
2008,65,3,6,-22.02,0,5.31,139.97,5.24,-12.82,-7.57,,,,,,,
2008,66,3,7,-32.36,0,3.33,297.10,19.68,-30.93,-11.25,,,,,,,
2008,67,3,8,-33.87,0,2.55,222.74,33.13,-26.51,6.62,,,,,,,
2008,68,3,9,-30.50,0,5.52,114.04,34.71,-31.56,3.15,,,,,,,
2008,69,3,10,-29.08,0,5.48,95.45,22.63,-35.12,-12.49,,,,,,,
2008,70,3,11,-31.34,0,2.08,129.70,23.56,-33.12,-9.56,,,,,,,
2008,71,3,12,-37.29,0,2.79,64.13,29.86,-28.71,1.15,,,,,,,
2008,72,3,13,-38.49,0,2.93,68.15,30.38,-34.07,-3.70,,,,,,,
2008,73,3,14,-37.98,0,1.49,148.49,26.54,-30.13,-3.59,,,,,,,
2008,74,3,15,-35.58,0,1.83,297.55,19.49,3.59,23.07,,,,,,,
2008,75,3,16,-34.09,0,2.38,330.30,21.73,3.20,24.93,,,,,,,
2008,76,3,17,-29.44,0,3.27,313.94,8.15,-13.00,-4.85,,,,,,,
2008,77,3,18,-32.74,0,3.38,294.14,25.96,-28.22,-2.26,,,,,,,
2008,78,3,19,-33.26,0,2.05,305.88,26.12,-24.75,1.37,,,,,,,
2008,79,3,20,-31.56,0,3.41,280.85,30.54,-28.36,2.19,,,,,,,
2008,80,3,21,-30.17,0,2.97,268.19,28.58,-26.52,2.06,,,,,,,
2008,81,3,22,-32.69,0,2.20,214.90,30.74,-25.04,5.70,,,,,,,
2008,82,3,23,-31.50,0,2.64,262.63,33.24,-29.94,3.30,,,,,,,
2008,83,3,24,-30.18,0,3.97,259.89,37.80,-26.01,11.78,,,,,,,
2008,84,3,25,-26.08,0,4.91,158.03,31.80,-27.58,4.22,,,,,,,
2008,85,3,26,-22.00,0,3.25,235.97,9.40,-6.81,2.59,,,,,,,
2008,86,3,27,-22.56,0,4.47,286.03,9.71,-12.71,-3.00,,,,,,,
2008,87,3,28,-27.77,0,1.92,173.35,11.95,-19.00,-7.05,,,,,,,
2008,88,3,29,-28.07,0,4.43,68.26,9.27,-7.95,1.32,,,,,,,
2008,89,3,30,-22.47,0,3.64,160.30,12.59,-9.53,3.06,,,,,,,
2008,90,3,31,-21.76,0,1.77,212.38,16.20,-22.74,-6.53,,,,,,,
2008,91,4,1,-23.28,0,3.48,130.78,20.08,-30.62,-10.54,,,,,,,
2008,92,4,2,-25.70,0,1.19,180.01,29.52,-27.59,1.93,,,,,,,
2008,93,4,3,-26.11,0,1.27,220.23,28.73,-28.05,0.68,,,,,,,
2008,94,4,4,-24.44,0,1.37,293.48,22.18,-9.52,12.66,,,,,,,
2008,95,4,5,-21.94,0,2.25,128.62,19.69,-19.30,0.39,,,,,,,
2008,96,4,6,-21.76,0,3.80,113.22,20.99,-24.48,-3.49,,,,,,,
2008,97,4,7,-23.35,0,2.96,223.75,17.28,-25.88,-8.60,,,,,,,
2008,98,4,8,-16.92,0,4.18,188.62,22.45,-32.83,-10.38,,,,,,,
2008,99,4,9,-21.87,0,0.85,159.84,28.95,-31.17,-2.23,,,,,,,
2008,100,4,10,-22.20,0,1.67,130.63,34.03,-14.48,19.55,,,,,,,
2008,101,4,11,-17.91,0,5.19,60.86,15.05,-7.18,7.87,,,,,,,
2008,102,4,12,-17.49,0,7.26,66.26,13.65,-3.56,10.09,,,,,,,
2008,103,4,13,-12.47,0,3.61,75.86,10.18,-0.38,9.80,,,,,,,
2008,104,4,14,-8.85,0,5.43,81.79,9.74,0.41,10.14,,,,,,,
2008,105,4,15,-12.86,0,5.07,253.78,23.16,-30.12,-6.96,,,,,,,
2008,106,4,16,-18.85,0,3.60,267.13,36.07,-36.16,-0.09,,,,,,,
2008,107,4,17,-21.24,0,3.36,94.00,32.35,-33.38,-1.03,,,,,,,
2008,108,4,18,-17.87,0,5.00,54.00,31.99,-33.69,-1.70,,,,,,,
2008,109,4,19,-18.90,0,3.43,42.87,42.01,-35.13,6.87,,,,,,,
2008,110,4,20,-19.33,0,1.57,54.08,35.02,-31.64,3.37,,,,,,,
2008,111,4,21,-16.47,0,2.44,250.51,33.01,-11.89,21.13,,,,,,,
2008,112,4,22,-14.55,0,2.45,251.41,33.08,-33.37,-0.29,,,,,,,
2008,113,4,23,-14.34,0,4.70,96.22,31.37,-24.42,6.95,,,,,,,
2008,114,4,24,-3.48,0,7.27,246.52,22.49,-17.43,5.07,,,,,,,
2008,115,4,25,-5.19,0,3.01,227.29,31.37,-31.50,-0.13,,,,,,,
2008,116,4,26,-3.79,0,3.40,122.45,33.53,-39.29,-5.76,,,,,,,
2008,117,4,27,2.11,0,4.14,203.98,41.77,-38.41,3.36,,,,,,,
2008,118,4,28,0.77,0,4.61,267.50,26.08,-16.09,9.98,,,,,,,
2008,119,4,29,-0.37,0,3.79,123.65,42.22,-26.97,15.24,,,,,,,
2008,120,4,30,1.25,0,1.63,191.11,56.95,-51.74,5.20,,,,,,,
2008,121,5,1,-0.59,0,2.82,247.32,58.87,-51.84,7.03,,,,,,,
2008,122,5,2,-3.50,0,2.36,209.02,31.29,-17.03,14.25,,,,,,,
2008,123,5,3,-8.67,0,4.43,315.44,45.28,-34.86,10.43,,,,,,,
2008,124,5,4,-12.32,0,2.07,164.93,48.28,-33.22,15.05,,,,,,,
2008,125,5,5,-10.92,0,5.07,59.53,49.06,-51.32,-2.27,,,,,,,
2008,126,5,6,-11.24,0,3.73,267.11,44.35,-29.69,14.65,,,,,,,
2008,127,5,7,-7.70,0,2.75,145.73,40.19,-25.48,14.71,,,,,,,
2008,128,5,8,-3.38,0,3.84,270.38,29.88,-22.00,7.88,,,,,,,
2008,129,5,9,-7.20,0,4.93,301.53,29.50,-15.98,13.52,,,,,,,
2008,130,5,10,-10.53,0,4.59,309.53,22.66,-16.52,6.14,,,,,,,
2008,131,5,11,-10.85,0,4.42,112.45,45.50,-33.87,11.62,,,,,,,
2008,132,5,12,-8.30,0,3.21,174.22,28.63,-14.20,14.43,,,,,,,
2008,133,5,13,-10.11,0,5.90,308.09,19.17,-14.70,4.47,,,,,,,
2008,134,5,14,-8.70,0,7.01,274.85,23.34,-13.53,9.81,,,,,,,
2008,135,5,15,-6.95,0,5.28,292.14,21.19,-11.17,10.01,,,,,,,
2008,136,5,16,-5.94,0,1.96,164.32,37.99,-28.38,9.61,,,,,,,
2008,137,5,17,-4.51,0,3.07,130.36,49.74,-56.85,-7.11,,,,,,,
2008,138,5,18,0.26,0,2.49,160.44,53.54,-50.65,2.90,,,,,,,
2008,139,5,19,-1.71,0,1.74,127.05,64.14,-50.28,13.86,,,,,,,
2008,140,5,20,-3.63,0,1.90,193.68,73.40,-54.97,18.43,,,,,,,
2008,141,5,21,-1.31,0,2.49,101.23,78.03,-52.68,25.35,,,,,,,
2008,142,5,22,-2.08,0,4.86,238.04,36.80,-12.45,24.35,,,,,,,
2008,143,5,23,-1.31,0,5.40,74.27,43.63,-26.42,17.21,,,,,,,
2008,144,5,24,1.09,0,4.63,102.96,76.57,-61.02,15.54,,,,,,,
2008,145,5,25,2.30,0,2.26,154.75,80.49,-54.96,25.53,,,,,,,
2008,146,5,26,-0.96,0,2.58,290.07,70.45,-33.39,37.05,,,,,,,
2008,147,5,27,-2.23,0,2.10,248.51,94.05,-45.27,48.78,,,,,,,
2008,148,5,28,-1.06,0,3.16,211.23,72.38,-40.39,32.00,,,,,,,
2008,149,5,29,-1.06,0,3.69,153.74,66.13,-17.84,48.29,,,,,,,
2008,150,5,30,-1.66,0,3.43,271.15,74.35,-20.03,54.31,,,,,,,
2008,151,5,31,2.85,0,2.64,179.35,88.57,-23.45,65.12,,,,,,,
2008,152,6,1,2.02,0,2.82,204.97,85.95,-20.61,65.34,,,,,,,
2008,153,6,2,1.55,0,4.43,53.59,106.67,-44.44,62.24,,,,,,,
2008,154,6,3,3.84,0,6.32,73.93,168.29,-53.24,115.05,,,,,,,
2008,155,6,4,6.75,0,5.79,82.49,272.95,-52.32,220.61,,,,,,,
2008,156,6,5,8.89,0,4.77,84.09,279.46,-59.85,219.61,,,,,,,
2008,157,6,6,6.27,0,5.70,50.92,293.67,-81.99,211.67,,,,,,,
2008,158,6,7,0.40,0,3.64,94.45,167.17,-23.45,143.72,,,,,,,
2008,159,6,8,2.19,0,1.96,254.26,239.72,-49.75,189.97,,,,,,,
2008,160,6,9,4.29,0,4.11,53.87,266.77,-76.01,190.75,,,,,,,
2008,161,6,10,3.07,0,4.09,49.74,147.54,-38.51,109.02,,,,,,,
2008,162,6,11,1.89,0,3.23,159.06,161.60,-28.25,133.36,,,,,,,
2008,163,6,12,1.73,0,3.28,229.01,109.32,-17.78,91.54,,,,,,,
2008,164,6,13,2.80,0,3.05,59.37,152.81,-21.82,130.98,,,,,,,
2008,165,6,14,6.64,0,3.93,41.61,273.74,-58.45,215.29,,,,,,,
2008,166,6,15,2.96,0,4.68,113.95,235.99,-53.80,182.21,,,,,,,
2008,167,6,16,6.53,0,3.22,36.03,294.48,-77.81,216.69,,,,,,,
2008,168,6,17,6.18,0,4.94,49.74,300.82,-82.78,218.04,,,,,,,
2008,169,6,18,5.24,0,5.77,45.11,301.26,-84.04,217.23,,,,,,,
2008,170,6,19,1.05,0,3.36,21.87,249.85,-54.28,195.57,,,,,,,
2008,171,6,20,2.43,0,3.48,58.25,256.56,-60.51,196.05,,,,,,,
2008,172,6,21,4.35,0,5.01,48.14,287.61,-81.31,206.30,,,,,,,
2008,173,6,22,8.06,0,5.72,59.06,262.73,-69.43,193.29,,,,,,,
2008,174,6,23,5.31,0,6.59,52.14,277.73,-81.10,196.64,,,,,,,
2008,175,6,24,4.30,0,6.63,48.78,287.25,-77.13,210.13,,,,,,,
2008,176,6,25,3.41,0,3.97,48.64,150.52,-31.94,118.57,,,,,,,
2008,177,6,26,4.14,0,4.14,32.60,236.01,-56.32,179.69,,,,,,,
2008,178,6,27,2.67,0,4.24,153.30,91.85,-14.24,77.62,,,,,,,
2008,179,6,28,3.77,0,4.41,321.89,123.79,-12.38,111.41,,,,,,,
2008,180,6,29,5.53,0,3.52,262.89,266.73,-62.24,204.49,,,,,,,
2008,181,6,30,9.41,0,4.06,75.31,292.16,-89.76,202.39,,,,,,,
2008,182,7,1,7.70,0,4.80,52.00,288.64,-86.71,201.94,,,,,,,
2008,183,7,2,4.54,0,4.20,34.21,131.22,-18.59,112.64,,,,,,,
2008,184,7,3,3.72,0,3.84,51.19,123.95,-20.59,103.37,,,,,,,
